"entity_id","rapm","model_date","season","round","overall_round","circuit","dev_ratio","rapm_loess","rapm_blended","rapm_error","span_value","weight_value"
"button-d",-0.203393436084766,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,-0.198308600182647,0.138368350642064,0.3,0.3
"vettel-d",-0.167984617179044,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,-0.163785001749567,0.117376244921195,0.3,0.3
"hamilton-d",-0.127178289850353,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,-0.123998832604094,0.085019124312649,0.3,0.3
"webber-d",-0.0917694701682253,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,-0.0894752334140197,0.0640227315449836,0.3,0.3
"alonso-d",-0.0612273065642123,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,-0.059696623900107,0.0631246159846317,0.3,0.3
"kobayashi-d",-0.0263491319487032,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,-0.0256904036499856,0.0348550413272568,0.3,0.3
"raikkonen-d",0.0121900895953771,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0.0118853373554926,0.0241212117149538,0.3,0.3
"perez-d",0.0498660479146557,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0.0486193967167893,0.0399814780567271,0.3,0.3
"ricciardo-d",0.0807744042716472,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0.078755044164856,0.0543072805902953,0.3,0.3
"resta-d",0.122316223608171,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0.119258318017967,0.0713084255235272,0.3,0.3
"vergne-d",0.131660874373113,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0.128369352513785,0.0885393006272034,0.3,0.3
"rosberg-d",0.133762601897694,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0.130418536850252,0.0818120670440314,0.3,0.3
"glock-d",0.0936434522468077,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0.0913023659406375,0.0606179712168837,0.3,0.3
