"season","races","kendall_tau","kendall_tau_loess","kendall_tau_blended","regulation_change"
2014,19,0.688895645894502,0.676298320293427,0.683446953171178,"major"
2015,19,0.629911802316967,0.625606660780154,0.632768583925147,"none"
2016,21,0.683929809502193,0.677324391546704,0.682004150890169,"none"
2017,20,0.655005572736263,0.639797610044479,0.650569927692413,"minor"
2018,21,0.602579764667011,0.584253445977256,0.597198243652071,"none"
2019,21,0.641071462915057,0.651536382379986,0.645429926259177,"none"
2020,17,0.563020862200681,0.56139392712537,0.555773910354165,"none"
2021,22,0.625047857788476,0.616561807014725,0.622310803695159,"none"
2022,22,0.616819335655733,0.57725750180808,0.610977162014354,"minor"
2023,22,0.596696277911013,0.561476697975939,0.587522119283676,"none"
2024,24,0.582457991937796,0.552919990072648,0.573043522735437,"none"
2025,24,0.515503926823537,0.517775257428487,0.518696622302135,"none"
2026,9,0.583736836910248,0.460516214370728,0.555087877644433,"major"
