"","entity_id","rapm","model_date","season","round","overall_round","circuit","dev_ratio","rapm_loess","rapm_blended","rapm_error","span_value","weight_value"
"1","button-d",-0.203393436084766,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,-0.198308600182647,0.122458504751413,0.5,0.7
"2","vettel-d",-0.167984617179044,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,-0.163785001749567,0.112605931639442,0.5,0.7
"3","hamilton-d",-0.127178289850353,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,-0.123998832604094,0.0887168398079383,0.5,0.7
"4","webber-d",-0.0917694701682253,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,-0.0894752334140197,0.082850112462094,0.5,0.7
"5","alonso-d",-0.0612273065642123,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,-0.059696623900107,0.070576676904854,0.5,0.7
"6","kobayashi-d",-0.0263491319487032,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,-0.0256904036499856,0.0584967980653617,0.5,0.7
"7","raikkonen-d",0.0121900895953771,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0.0118853373554926,0.0296701513507883,0.5,0.7
"8","perez-d",0.0498660479146557,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0.0486193967167893,0.0403743238134083,0.5,0.7
"9","ricciardo-d",0.0807744042716472,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0.078755044164856,0.0605380945650984,0.5,0.7
"10","resta-d",0.122316223608171,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0.119258318017967,0.0650929226222628,0.5,0.7
"11","vergne-d",0.131660874373113,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0.128369352513785,0.0732712397936479,0.5,0.7
"12","rosberg-d",0.133762601897694,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0.130418536850252,0.0998689593328486,0.5,0.7
"13","glock-d",0.0936434522468077,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0.0913023659406375,0.0872083715099561,0.5,0.7
"14","pic-d",0.053688429331123,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0.052346218597845,0.0477836541918488,0.5,0.7
"15","bruno_senna-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"16","hulkenberg-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"17","michael_schumacher-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"18","massa-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"19","petrov-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"20","kovalainen-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"21","karthikeyan-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"22","rosa-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"23","grosjean-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"24","maldonado-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"25","ambrosio-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"26","sutil-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"27","gutierrez-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"28","bottas-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"29","jules_bianchi-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"30","chilton-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"31","garde-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"32","kevin_magnussen-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"33","kvyat-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"34","ericsson-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"35","stevens-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"36","nasr-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"37","sainz-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"38","max_verstappen-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"39","merhi-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"40","rossi-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"41","jolyon_palmer-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"42","wehrlein-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"43","vandoorne-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"44","haryanto-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"45","ocon-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"46","giovinazzi-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"47","stroll-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"48","gasly-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"49","brendon_hartley-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"50","leclerc-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"51","sirotkin-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"52","norris-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
