"","constructor_id","start_season","end_season","start_date","end_date","start_round_overall","end_round_overall"
"1","adams",1950,1950,"1950-05-30","1950-05-30",3,3
"2","afm",1952,1953,"1952-05-18","1953-09-13",16,32
"3","ags",1986,1991,"1986-09-07","1991-09-29",433,514
"4","alfa",1950,2023,"1950-05-13","2023-11-26",1,1101
"5","alphatauri",2020,2023,"2020-07-05","2023-11-26",1019,1101
"6","alpine",2021,2025,"2021-03-28","2025-11-23",1036,1147
"7","alta",1950,1952,"1950-05-13","1952-07-19",1,20
"8","amon",1974,1974,"1974-04-28","1974-09-08",239,248
"9","apollon",1977,1977,"1977-09-11","1977-09-11",294,294
"10","arrows",1978,2002,"1978-01-29","2002-07-28",299,692
"11","arzani-volpini",1955,1955,"1955-09-11","1955-09-11",48,48
"12","aston_martin",1959,2025,"1959-05-31","2025-11-23",78,1147
"13","ats",1963,1984,"1963-05-26","1984-10-21",112,404
"14","bar",1999,2005,"1999-03-07","2005-10-16",631,750
"15","behra-porsche",1960,1960,"1960-02-07","1960-09-04",85,93
"16","bellasi",1970,1971,"1970-06-21","1971-09-05",189,206
"17","benetton",1986,2001,"1986-03-23","2001-10-14",421,680
"18","bmw",1952,1953,"1952-08-03","1953-08-02",21,30
"19","bmw_sauber",2006,2009,"2006-03-12","2009-11-01",751,820
"20","boro",1976,1977,"1976-05-02","1977-09-11",268,294
"21","brabham",1962,1992,"1962-08-05","1992-08-16",108,527
"22","brabham-alfa_romeo",1976,1979,"1976-01-25","1979-09-09",265,326
"23","brabham-brm",1964,1966,"1964-05-24","1966-09-04",123,148
"24","brabham-climax",1964,1969,"1964-05-10","1969-09-20",122,182
"25","brabham-ford",1964,1979,"1964-07-11","1979-10-07",126,328
"26","brabham-repco",1966,1969,"1966-05-22","1969-03-01",142,174
"27","brawn",2009,2009,"2009-03-29","2009-11-01",804,820
"28","brm",1951,1977,"1951-07-14","1977-09-11",12,294
"29","brm-ford",1969,1969,"1969-08-03","1969-08-03",180,180
"30","bromme",1951,1952,"1951-05-30","1952-05-30",9,17
"31","brp",1963,1964,"1963-06-09","1964-10-25",113,131
"32","bugatti",1956,1956,"1956-07-01","1956-07-01",53,53
"33","butterworth",1952,1952,"1952-06-22","1952-09-07",18,23
"34","caterham",2012,2014,"2012-03-18","2014-11-23",859,916
"35","cisitalia",1952,1952,"1952-09-07","1952-09-07",23,23
"36","coloni",1987,1991,"1987-09-06","1991-11-03",447,516
"37","connaught",1952,1959,"1952-07-19","1959-12-12",20,84
"38","connew",1972,1972,"1972-08-13","1972-08-13",217,217
"39","cooper",1950,1962,"1950-05-21","1962-07-08",2,106
"40","cooper-alfa_romeo",1962,1962,"1962-12-29","1962-12-29",111,111
"41","cooper-ats",1967,1967,"1967-07-15","1967-07-15",156,156
"42","cooper-borgward",1959,1959,"1959-07-18","1959-12-12",80,84
"43","cooper-brm",1968,1968,"1968-01-01","1968-11-03",162,173
"44","cooper-castellotti",1960,1960,"1960-05-29","1960-11-20",86,94
"45","cooper-climax",1959,1968,"1959-05-10","1968-01-01",76,162
"46","cooper-ferrari",1966,1966,"1966-07-16","1966-08-07",145,147
"47","cooper-ford",1965,1965,"1965-01-01","1965-07-10",132,136
"48","cooper-maserati",1959,1969,"1959-05-10","1969-05-18",76,176
"49","cooper-osca",1959,1959,"1959-12-12","1959-12-12",84,84
"50","dallara",1988,1992,"1988-04-03","1992-11-08",453,532
"51","de_tomaso-alfa_romeo",1961,1962,"1961-09-10","1962-06-03",101,104
"52","de_tomaso-ferrari",1963,1963,"1963-09-08","1963-09-08",118,118
"53","de_tomaso-osca",1961,1962,"1961-07-02","1962-09-16",98,109
"54","deidt",1950,1952,"1950-05-30","1952-05-30",3,17
"55","derrington",1964,1964,"1964-09-06","1964-09-06",129,129
"56","dunn",1957,1959,"1957-05-30","1959-05-30",59,77
"57","eagle-climax",1966,1969,"1966-06-12","1969-09-20",143,182
"58","eagle-weslake",1966,1968,"1966-09-04","1968-09-08",148,170
"59","elder",1959,1959,"1959-05-30","1959-05-30",77,77
"60","emeryson",1956,1962,"1956-07-14","1962-12-29",54,111
"61","emw",1953,1953,"1953-08-02","1953-08-02",30,30
"62","enb",1962,1962,"1962-08-05","1962-08-05",108,108
"63","ensign",1973,1982,"1973-07-01","1982-09-25",228,373
"64","epperly",1955,1960,"1955-05-30","1960-05-30",44,87
"65","era",1950,1952,"1950-05-13","1952-08-17",1,22
"66","eurobrun",1988,1990,"1988-04-03","1990-09-30",453,498
"67","ewing",1950,1960,"1950-05-30","1960-05-30",3,87
"68","ferguson",1961,1961,"1961-07-15","1961-07-15",99,99
"69","ferrari",1950,2025,"1950-05-21","2025-11-23",2,1147
"70","fittipaldi",1975,1982,"1975-01-12","1982-09-25",251,373
"71","fondmetal",1991,1992,"1991-03-10","1992-09-13",501,529
"72","footwork",1991,1996,"1991-03-10","1996-10-13",501,597
"73","force_india",2008,2018,"2008-03-16","2018-11-25",786,997
"74","forti",1995,1996,"1995-03-26","1996-07-14",565,591
"75","frazer_nash",1952,1952,"1952-05-18","1952-08-17",16,22
"76","fry",1959,1959,"1959-07-18","1959-07-18",80,80
"77","gilby",1961,1963,"1961-07-15","1963-09-08",99,118
"78","gordini",1952,1956,"1952-05-18","1956-09-02",16,56
"79","haas",2016,2025,"2016-03-20","2025-11-23",936,1147
"80","hall",1951,1951,"1951-05-30","1951-05-30",9,9
"81","hesketh",1974,1978,"1974-03-30","1978-05-21",238,303
"82","hill",1975,1975,"1975-03-01","1975-10-05",253,264
"83","honda",1964,2008,"1964-08-02","2008-11-02",127,803
"84","hrt",2010,2012,"2010-03-14","2012-11-25",821,878
"85","hwm",1951,1955,"1951-05-27","1955-05-22",8,43
"86","iso_marlboro",1973,1974,"1973-01-28","1974-10-06",221,250
"87","jaguar",2000,2004,"2000-03-12","2004-10-24",647,731
