parent_constructor_id,constructor_id,constructor_start,constructor_end,primary_color,secondary_color
alpine,alpine,3/28/2021,5/5/2024,#2173B8,#E12319
alpine,renault,7/16/1977,12/13/2020,#dbb74f,
alpine,lotus_f1,3/18/2012,11/29/2015,#86995B,
aston_martin,aston_martin,5/31/1959,5/5/2024,#037A68,
aston_martin,racing_point,3/17/2019,12/13/2020,#EC0374,
aston_martin,force_india,3/16/2008,11/25/2018,#00A85C,
caterham,caterham,3/18/2012,11/23/2014,#005030,
caterham,lotus_racing,3/14/2010,11/27/2011,#86995B,
ferrari,ferrari,5/21/1950,5/5/2024,#FFF200,#EF1A2D
haas,haas,3/20/2016,5/5/2024,#E6002B,
hrt,hrt,3/14/2010,11/25/2012,#A6904F,
manor,manor,3/29/2015,11/27/2016,#006DC1,
manor,marussia,3/18/2012,10/12/2014,#006DC1,
manor,virgin,3/14/2010,11/27/2011,,
mclaren,mclaren,8/4/1968,5/5/2024,#FF8000,#000000
mercedes,mercedes,7/4/1954,5/5/2024,#00A19B,#565F64
mercedes,brawn,3/29/2009,11/1/2009,,
red_bull,red_bull,3/6/2005,5/5/2024,#EC1845,#FED502
sauber,sauber,3/14/1993,5/5/2024,#DE3126,
sauber,alfa,5/13/1950,11/26/2023,1E5341,
sauber,bmw_sauber,3/12/2006,11/1/2009,,
toro_rosso,rb,3/2/2024,5/5/2024,#20394C,
toro_rosso,alphatauri,7/5/2020,11/26/2023,#20394C,
toro_rosso,toro_rosso,3/12/2006,12/1/2019,#20394C,
williams,williams,1/12/1975,5/5/2024,#00A0DE,#000000
,toyota,3/3/2002,11/1/2009,,
,honda,8/2/1964,11/2/2008,,
,super_aguri,3/12/2006,4/27/2008,,
,spyker,3/18/2007,10/21/2007,,
,spyker_mf1,9/10/2006,10/22/2006,,
,mf1,3/12/2006,8/27/2006,,
,bar,3/7/1999,10/16/2005,,
,jordan,3/10/1991,10/16/2005,,
,minardi,4/7/1985,10/16/2005,,
,jaguar,3/12/2000,10/24/2004,,
,arrows,1/29/1978,7/28/2002,,
,benetton,3/23/1986,10/14/2001,,
,prost,3/9/1997,10/14/2001,,
,stewart,3/9/1997,10/31/1999,,
,tyrrell,9/20/1970,11/1/1998,,
,lola,5/20/1962,3/9/1997,,
,footwork,3/10/1991,10/13/1996,,
,ligier,1/25/1976,10/13/1996,,
,forti,3/26/1995,7/14/1996,,
,pacific,3/27/1994,11/12/1995,,
,simtek,3/27/1994,5/28/1995,,
,larrousse,5/3/1987,11/13/1994,,
,team_lotus,5/18/1958,11/13/1994,,
,dallara,4/3/1988,11/8/1992,,
,march,3/7/1970,11/8/1992,,
,fondmetal,3/10/1991,9/13/1992,,
,moda,5/3/1992,8/30/1992,,
,brabham,8/5/1962,8/16/1992,,
,coloni,9/6/1987,11/3/1991,,
,lambo,3/10/1991,11/3/1991,,
,leyton,3/11/1990,11/3/1991,,
,ags,9/7/1986,9/29/1991,,
,osella,1/13/1980,11/4/1990,,
,eurobrun,4/3/1988,9/30/1990,,
,life,3/11/1990,9/30/1990,,
,onyx,3/26/1989,8/12/1990,,
,rial,4/3/1988,11/5/1989,,
,zakspeed,4/21/1985,11/5/1989,,
,toleman,5/3/1981,11/3/1985,,
,ram,3/13/1983,10/6/1985,,
,spirit,7/16/1983,5/5/1985,,
,ats,5/26/1963,10/21/1984,,
,theodore,1/15/1978,9/25/1983,,
,ensign,7/1/1973,9/25/1982,,
,fittipaldi,1/12/1975,9/25/1982,,
,shadow,3/3/1973,6/29/1980,,
,brabham-ford,7/11/1964,10/7/1979,,
,merzario,1/15/1978,10/7/1979,,
,rebaque,9/9/1979,10/7/1979,,
,wolf,1/25/1976,10/7/1979,,
,brabham-alfa_romeo,1/25/1976,9/9/1979,,
,kauhsen,4/29/1979,5/13/1979,,
,surtees,7/18/1970,10/8/1978,,
,martini,3/4/1978,10/1/1978,,
,hesketh,3/30/1974,5/21/1978,,
,kojima,10/24/1976,10/23/1977,,
,penske,9/22/1974,10/9/1977,,
,apollon,9/11/1977,9/11/1977,,
,boro,5/2/1976,9/11/1977,,
,brm,7/14/1951,9/11/1977,,
,lec,5/8/1977,7/16/1977,,
,mcguire,7/16/1977,7/16/1977,,
,maki,7/20/1974,10/24/1976,,
,parnelli,9/22/1974,3/28/1976,,
,hill,3/1/1975,10/5/1975,,
,shadow-ford,1/12/1975,10/5/1975,,
,shadow-matra,8/17/1975,9/7/1975,,
,lyncar,7/20/1974,7/19/1975,,
,iso_marlboro,1/28/1973,10/6/1974,,
,amon,4/28/1974,9/8/1974,,
,trojan,4/28/1974,9/8/1974,,
,token,5/12/1974,8/18/1974,,
,tecno,6/4/1972,7/29/1973,,
,matra,5/7/1967,10/8/1972,,
,connew,8/13/1972,8/13/1972,,
,politoys,7/15/1972,7/15/1972,,
,lotus-ford,12/28/1963,10/3/1971,,
,march-alfa_romeo,3/6/1971,10/3/1971,,
,march-ford,3/6/1971,10/3/1971,,
,bellasi,6/21/1970,9/5/1971,,
,lotus-pw,6/20/1971,9/5/1971,,
,mclaren-ford,5/22/1966,10/25/1970,,
,mclaren-alfa_romeo,4/19/1970,10/4/1970,,
,tomaso,9/16/1962,10/4/1970,,
,matra-ford,1/1/1968,10/19/1969,,
,brabham-climax,5/10/1964,9/20/1969,,
,eagle-climax,6/12/1966,9/20/1969,,
,brm-ford,8/3/1969,8/3/1969,,
,cooper-maserati,5/10/1959,5/18/1969,,
,brabham-repco,5/22/1966,3/1/1969,,
,cooper-brm,1/1/1968,11/3/1968,,
,mclaren-brm,5/7/1967,10/6/1968,,
,eagle-weslake,9/4/1966,9/8/1968,,
,cooper-climax,5/10/1959,1/1/1968,,
,lds,12/29/1962,1/1/1968,,
,lotus-brm,6/3/1962,10/22/1967,,
,protos,8/6/1967,8/6/1967,,
,cooper-ats,7/15/1967,7/15/1967,,
,lotus-climax,5/14/1961,5/7/1967,,
,lds-climax,1/1/1965,1/2/1967,,
,brabham-brm,5/24/1964,9/4/1966,,
,cooper-ferrari,7/16/1966,8/7/1966,,
,mclaren-seren,6/12/1966,7/16/1966,,
,shannon,7/16/1966,7/16/1966,,
,cooper-ford,1/1/1965,7/10/1965,,
,lds-alfa_romeo,1/1/1965,1/1/1965,,
,re,1/1/1965,1/1/1965,,
,brp,6/9/1963,10/25/1964,,
,derrington,9/6/1964,9/6/1964,,
,scirocco,5/26/1963,8/2/1964,,
,porsche,8/4/1957,5/24/1964,,
,stebro,10/6/1963,10/6/1963,,
,de_tomaso-ferrari,9/8/1963,9/8/1963,,
,gilby,7/15/1961,9/8/1963,,
,lotus-maserati,9/10/1961,9/8/1963,,
,lotus-borgward,9/16/1962,8/4/1963,,
,cooper-alfa_romeo,12/29/1962,12/29/1962,,
,emeryson,7/14/1956,12/29/1962,,
,de_tomaso-osca,7/2/1961,9/16/1962,,
,enb,8/5/1962,8/5/1962,,
,cooper,5/21/1950,7/8/1962,,
,de_tomaso-alfa_romeo,9/10/1961,6/3/1962,,
,jbw,7/18/1959,9/10/1961,,
,mbm,8/6/1961,8/6/1961,,
,ferguson,7/15/1961,7/15/1961,,
,cooper-castellotti,5/29/1960,11/20/1960,,
,maserati,5/13/1950,11/20/1960,,
,scarab,5/29/1960,11/20/1960,,
,behra-porsche,2/7/1960,9/4/1960,,
,vanwall,7/17/1954,7/3/1960,,
,epperly,5/30/1955,5/30/1960,,
,ewing,5/30/1950,5/30/1960,,
,kurtis_kraft,5/30/1950,5/30/1960,,
,kuzma,5/30/1951,5/30/1960,,
,lesovsky,5/30/1950,5/30/1960,,
,meskowski,5/30/1960,5/30/1960,,
,phillips,5/31/1954,5/30/1960,,
,trevis,5/30/1951,5/30/1960,,
,vhristensen,5/30/1959,5/30/1960,,
,watson,5/30/1950,5/30/1960,,
,connaught,7/19/1952,12/12/1959,,
,cooper-borgward,7/18/1959,12/12/1959,,
,cooper-osca,12/12/1959,12/12/1959,,
,tec-mec,12/12/1959,12/12/1959,,
,fry,7/18/1959,7/18/1959,,
,dunn,5/30/1957,5/30/1959,,
,elder,5/30/1959,5/30/1959,,
,moore,5/30/1950,5/30/1959,,
,sutton,5/30/1959,5/30/1959,,
,osca,9/16/1951,5/18/1958,,
,gordini,5/18/1952,9/2/1956,,
,bugatti,7/1/1956,7/1/1956,,
,stevens,5/30/1950,5/30/1956,,
,arzani-volpini,9/11/1955,9/11/1955,,
,lancia,10/24/1954,6/5/1955,,
,pankratz,5/31/1954,5/30/1955,,
,pawl,5/30/1951,5/30/1955,,
,schroeder,5/30/1951,5/30/1955,,
,hwm,5/27/1951,5/22/1955,,
,klenk,8/1/1954,8/1/1954,,
,nichels,5/30/1950,5/31/1954,,
,afm,5/18/1952,9/13/1953,,
,bmw,8/3/1952,8/2/1953,,
,emw,8/2/1953,8/2/1953,,
,veritas,5/27/1951,8/2/1953,,
,simca,5/21/1950,6/21/1953,,
,turner,5/30/1953,5/30/1953,,
,butterworth,6/22/1952,9/7/1952,,
,cisitalia,9/7/1952,9/7/1952,,
,era,5/13/1950,8/17/1952,,
,frazer_nash,5/18/1952,8/17/1952,,
,alta,5/13/1950,7/19/1952,,
,bromme,5/30/1951,5/30/1952,,
,deidt,5/30/1950,5/30/1952,,
,sherman,5/30/1951,5/30/1952,,
,lago,5/13/1950,10/28/1951,,
,hall,5/30/1951,5/30/1951,,
,marchese,5/30/1950,5/30/1951,,
,milano,9/3/1950,9/3/1950,,
,adams,5/30/1950,5/30/1950,,
,langley,5/30/1950,5/30/1950,,
,olson,5/30/1950,5/30/1950,,
,rae,5/30/1950,5/30/1950,,
,snowberger,5/30/1950,5/30/1950,,
,wetteroth,5/30/1950,5/30/1950,,
